Código INE;Municipio;Provincia;Comunidad/ciudad autónoma
32003;A Arnoia;Ourense;Galicia
15007;A Baña;A Coruña;Galicia
32014;A Bola;Ourense;Galicia
36009;A Cañiza;Pontevedra;Galicia
15018;A Capela;A Coruña;Galicia
15030;A Coruña;A Coruña;Galicia
36017;A Estrada;Pontevedra;Galicia
27018;A Fonsagrada;Lugo;Galicia
36023;A Guarda;Pontevedra;Galicia
32034;A Gudiña;Ourense;Galicia
36901;A Illa de Arousa;Pontevedra;Galicia
36025;A Lama;Pontevedra;Galicia
15041;A Laracha;A Coruña;Galicia
32047;A Merca;Ourense;Galicia
32048;A Mezquita;Ourense;Galicia
27044;A Pastoriza;Lugo;Galicia
32059;A Peroxa;Ourense;Galicia
32063;A Pobra de Trives;Ourense;Galicia
27047;A Pobra do Brollón;Lugo;Galicia
15067;A Pobra do Caramiñal;A Coruña;Galicia
27048;A Pontenova;Lugo;Galicia
32072;A Rúa;Ourense;Galicia
32080;A Teixeira;Ourense;Galicia
32083;A Veiga;Ourense;Galicia
44001;Ababuj;Teruel;Aragón
40001;Abades;Segovia;Castilla y León
10001;Abadía;Cáceres;Extremadura
27001;Abadín;Lugo;Galicia
48001;Abadiño;Bizkaia;País Vasco/Euskadi
31001;Abáigar;Navarra;Comunidad Foral de Navarra
09001;Abajas;Burgos;Castilla y León
26001;Ábalos;La Rioja;La Rioja
20001;Abaltzisketa;Gipuzkoa;País Vasco/Euskadi
19001;Abánades;Guadalajara;Castilla-La Mancha
30001;Abanilla;Murcia;Región de Murcia
50001;Abanto;Zaragoza;Aragón
48002;Abanto y Ciérvana-Abanto Zierbena;Bizkaia;País Vasco/Euskadi
30002;Abarán;Murcia;Región de Murcia
34001;Abarca de Campos;Palencia;Castilla y León
31002;Abárzuza/Abartzuza;Navarra;Comunidad Foral de Navarra
31003;Abaurregaina/Abaurrea Alta;Navarra;Comunidad Foral de Navarra
31004;Abaurrepea/Abaurrea Baja;Navarra;Comunidad Foral de Navarra
15001;Abegondo;A Coruña;Galicia
42001;Abejar;Soria;Castilla y León
44002;Abejuela;Teruel;Aragón
25001;Abella de la Conca;Lleida;Cataluña/Catalunya
02001;Abengibre;Albacete;Castilla-La Mancha
13001;Abenójar;Ciudad Real;Castilla-La Mancha
31005;Aberin;Navarra;Comunidad Foral de Navarra
10002;Abertura;Cáceres;Extremadura
49002;Abezames;Zamora;Castilla y León
16001;Abia de la Obispalía;Cuenca;Castilla-La Mancha
34003;Abia de las Torres;Palencia;Castilla y León
22001;Abiego;Huesca;Aragón
22002;Abizanda;Huesca;Aragón
04001;Abla;Almería;Andalucía
19002;Ablanque;Guadalajara;Castilla-La Mancha
31006;Ablitas;Navarra;Comunidad Foral de Navarra
08001;Abrera;Barcelona;Cataluña/Catalunya
04002;Abrucena;Almería;Andalucía
37001;Abusejo;Salamanca;Castilla y León
24001;Acebedo;León;Castilla y León
10003;Acebo;Cáceres;Extremadura
06001;Acedera;Badajoz;Extremadura
10004;Acehúche;Cáceres;Extremadura
10005;Aceituna;Cáceres;Extremadura
50002;Acered;Zaragoza;Aragón
06002;Aceuchal;Badajoz;Extremadura
22003;Adahuesca;Huesca;Aragón
47001;Adalia;Valladolid;Castilla y León
14001;Adamuz;Córdoba;Andalucía
05001;Adanero;Ávila;Castilla y León
38001;Adeje;Santa Cruz de Tenerife;Canarias
46001;Ademuz;València/Valencia;Comunitat Valenciana
31007;Adiós;Navarra;Comunidad Foral de Navarra
19003;Adobes;Guadalajara;Castilla-La Mancha
46002;Ador;València/Valencia;Comunitat Valenciana
04003;Adra;Almería;Andalucía
09003;Adrada de Haza;Burgos;Castilla y León
40002;Adrada de Pirón;Segovia;Castilla y León
42003;Adradas;Soria;Castilla y León
40003;Adrados;Segovia;Castilla y León
20002;Aduna;Gipuzkoa;País Vasco/Euskadi
35001;Agaete;Las Palmas;Canarias
37002;Agallas;Salamanca;Castilla y León
25002;Àger;Lleida;Cataluña/Catalunya
36020;Agolada;Pontevedra;Galicia
